county,candidate,votes,district,party,office
Lawrence,John Carey Jr.,4851,17,R,State Senate
Pickaway,John Carey Jr.,2857,17,R,State Senate
Pike,John Carey Jr.,2777,17,R,State Senate
Ross,John Carey Jr.,6217,17,R,State Senate
Vinton,John Carey Jr.,2124,17,R,State Senate
Clinton,Michael Shoemaker,3350,17,D,State Senate
Fayette,Michael Shoemaker,2520,17,D,State Senate
Gallia,Michael Shoemaker,3372,17,D,State Senate
Highland,Michael Shoemaker,4638,17,D,State Senate
Jackson,Michael Shoemaker,2929,17,D,State Senate
Lawrence,Michael Shoemaker,2788,17,D,State Senate
Pickaway,Michael Shoemaker,2658,17,D,State Senate
Pike,Michael Shoemaker,5107,17,D,State Senate
Ross,Michael Shoemaker,12422,17,D,State Senate
Vinton,Michael Shoemaker,1817,17,D,State Senate
Ashland,Jack Campbell,1233,19,D,State Senate
Delaware,Jack Campbell,10586,19,D,State Senate
Knox,Jack Campbell,3897,19,D,State Senate
Morrow,Jack Campbell,3325,19,D,State Senate
Richland,Jack Campbell,13535,19,D,State Senate
Ashland,Bill Harris,2550,19,R,State Senate
Delaware,Bill Harris,26427,19,R,State Senate
Knox,Bill Harris,9777,19,R,State Senate
Morrow,Bill Harris,5827,19,R,State Senate
Richland,Bill Harris,23334,19,R,State Senate
Fairfield,Jay Hottinger,30411,31,R,State Senate
Hocking,Jay Hottinger,5031,31,R,State Senate
Licking,Jay Hottinger,37923,31,R,State Senate
Perry,Jay Hottinger,6341,31,R,State Senate
Pickaway,Jay Hottinger,4068,31,R,State Senate
Carroll,Robert Hagan,4308,33,D,State Senate
Mahoning,Robert Hagan,58702,33,D,State Senate
Stark,Robert Hagan,5755,33,D,State Senate
Tuscarawas,Robert Hagan,2704,33,D,State Senate
Carroll,Holly Hanni,4063,33,R,State Senate
Mahoning,Holly Hanni,23910,33,R,State Senate
Stark,Holly Hanni,4277,33,R,State Senate
Tuscarawas,Holly Hanni,1321,33,R,State Senate
